;Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
0;fluminense;André Trindade;5;329;0;13;0;1;2;7;0;0;2;3;0;5;3;12;0;0;0;6;2;1
1;fluminense;Nino;5;289;2;1;1;1;0;2;1;0;2;3;0;32;2;6;0;0;0;1;0;0
2;internacional;Renê;5;280;0;9;1;5;7;1;0;0;9;1;0;23;4;4;0;0;0;6;0;0
3;atletico-mg;Jemerson;5;260;1;2;0;0;1;1;0;1;0;4;0;20;5;1;1;0;0;3;0;0
4;palmeiras;Gustavo Gómez;5;250;1;6;0;1;1;0;0;0;1;0;0;43;5;3;0;0;0;3;1;0
5;palmeiras;Gabriel Menino;5;243;1;6;3;1;2;6;0;1;5;1;0;13;7;5;0;0;0;0;1;0
6;fortaleza;Caio Alexandre;5;243;2;11;1;1;0;2;1;1;7;2;0;8;8;4;0;0;0;7;0;0
7;fluminense;Lima;5;235;7;6;2;3;1;0;2;0;4;3;0;5;5;12;0;0;0;13;0;0
8;fluminense;Ganso;5;225;3;5;4;0;1;0;1;2;3;0;0;1;1;8;0;0;0;7;0;0
9;flamengo;Ayrton Lucas;5;223;3;6;1;1;2;3;1;0;6;0;0;7;7;8;0;1;0;10;0;0
10;gremio;Bitello;5;215;3;8;1;3;1;0;1;0;4;4;0;6;4;15;1;0;0;21;1;0
11;atletico-mg;Otávio;3;214;1;3;1;2;0;2;0;0;3;1;0;6;4;1;0;0;0;1;2;0
12;atletico-mg;Mauricio Lemos;4;213;3;3;0;2;1;2;1;0;0;1;0;35;6;4;1;0;0;1;3;0
13;corinthians;Gil;5;212;1;4;0;0;0;0;0;0;0;7;0;25;5;0;0;0;0;0;1;0
14;cruzeiro;Richard;4;209;1;9;0;4;1;3;0;0;2;1;0;10;5;7;2;0;0;8;2;0
15;goias;Sander;5;201;2;10;8;3;1;0;0;1;10;0;0;21;4;17;1;0;0;9;0;0
16;corinthians;Roni;5;196;0;5;0;1;0;1;0;0;3;4;0;12;10;2;0;0;0;8;1;0
17;sao-paulo;Pablo Maia;5;196;1;7;0;1;0;3;1;0;4;4;0;4;7;1;0;0;0;4;1;0
18;cruzeiro;Luciano Castan;5;196;1;3;0;1;0;4;0;0;0;1;0;45;5;4;0;0;0;0;1;0
19;athletico-pr;Thiago Heleno;5;195;0;4;0;0;0;2;0;0;1;4;0;53;2;3;0;0;0;1;0;0
20;goias;Zé Ricardo;5;195;4;8;0;2;5;6;0;0;2;4;0;5;13;12;0;0;0;9;1;0
21;cruzeiro;William;5;195;0;8;2;7;0;4;0;0;3;0;0;22;10;7;0;0;0;14;1;0
22;internacional;Vitão;5;194;1;3;0;1;0;1;0;0;3;4;0;40;1;1;0;0;0;1;1;0
23;flamengo;Wesley;5;192;1;3;2;3;2;0;0;0;5;1;0;22;14;7;2;0;1;24;0;0
24;palmeiras;Joaquín Piquerez;4;189;1;6;2;4;1;0;0;2;3;0;0;15;6;4;0;0;0;10;3;0
25;vasco;Léo;5;188;0;1;0;0;0;0;0;0;0;2;0;52;5;2;0;0;0;2;0;0
26;flamengo;Thiago Maia;4;187;0;5;0;5;1;2;0;0;2;2;0;8;4;1;0;0;0;9;1;0
27;bragantino;Juninho Capixaba;5;187;2;5;5;4;1;2;0;1;7;0;0;32;11;5;0;0;0;8;2;0
28;bragantino;Eduardo;5;181;2;2;0;0;4;0;0;1;0;5;0;39;6;1;0;0;0;10;1;0
29;sao-paulo;Caio Paulista;5;179;3;3;0;2;4;0;0;1;2;2;0;8;4;9;0;0;0;12;0;0
30;atletico-mg;Rubens;5;179;1;19;1;1;0;0;0;0;3;0;0;22;7;4;1;0;0;4;1;0
31;cruzeiro;Mateus Vital;5;178;4;4;1;2;5;1;0;1;8;0;0;0;3;7;1;0;0;23;0;0
32;bahia;David Duarte;4;176;1;1;0;1;0;1;1;0;0;2;0;25;3;2;0;0;0;1;0;0
33;corinthians;Fagner;4;175;1;10;8;1;0;0;0;0;7;1;0;13;2;3;0;0;0;7;1;0
34;fluminense;Jhon Arias;4;174;0;4;6;2;4;1;0;0;10;0;0;5;5;10;3;0;0;24;0;0
35;fortaleza;Titi;5;174;0;6;0;3;2;0;0;0;0;2;0;41;3;5;0;0;0;6;0;0
36;santos;Lucas Lima;5;173;2;7;6;1;0;7;0;1;9;1;0;2;11;9;0;0;0;18;2;0
37;goias;Bruno Melo;4;172;0;1;0;1;0;1;0;0;0;0;0;28;3;3;1;0;0;0;3;0
38;bragantino;Matheus Fernandes;5;171;4;15;1;1;1;3;1;1;4;0;0;9;7;4;0;0;0;16;1;0
39;atletico-mg;Federico Zaracho;5;170;1;3;1;4;1;1;0;0;4;1;0;6;11;5;0;0;0;16;2;0
40;coritiba;Natanael;5;165;5;18;2;3;4;0;0;0;2;1;0;18;13;8;2;0;0;17;1;0
41;cuiaba;Marllon;5;165;1;3;0;2;1;1;1;1;0;2;0;37;4;4;0;0;1;2;2;0
42;bragantino;Aderlan;4;164;0;10;3;3;1;0;0;1;5;0;0;12;8;3;0;0;0;11;0;1
43;fluminense;Alexsander;5;162;0;5;4;1;7;0;0;1;3;0;0;8;10;2;1;0;0;18;0;0
44;botafogo;Víctor Cuesta;5;161;2;3;1;2;0;0;0;1;0;3;0;28;3;0;0;0;0;1;3;0
45;flamengo;Everton Ribeiro;5;161;3;5;5;1;0;6;1;1;11;0;0;0;4;8;1;0;0;16;0;0
46;sao-paulo;Rafinha;4;161;0;7;2;0;1;1;0;0;1;1;0;6;2;3;0;0;0;2;1;0
47;america-mg;Alê;4;159;1;5;1;2;0;2;1;0;2;0;0;6;11;5;0;0;0;9;2;0
48;fluminense;Guga;4;158;0;1;5;1;0;3;0;1;4;1;0;7;1;5;0;0;0;5;0;0
